BenzAGS2018,CO#AGS2018,NO#AGS2018,NO2AGS2018,O3#AGS2018,PM10AGS2018,PM2.5AGS2018,SO2AGS2018,Πλατεια Αγιας Σοφιας(1264),Ερμου(2378),Καρολου Ντηλ(2872),Καρολου Ντηλ(3026),Πλατεια Αγιας Σοφιας(695),Ερμου(808),Πλατεια Αγιας Σοφιας(890),Πλατεια Αγιας Σοφιας(919),Ερμου(975)
12.97,nan,nan,nan,nan,nan,nan,nan,nan,10.75,24.333333333333332,31.0,6.0,20.0,21.0,16.0,20.25
11.82,nan,nan,nan,nan,nan,nan,nan,8.0,19.0,25.5,14.25,14.0,24.5,11.5,nan,15.75
12.61,nan,nan,nan,nan,nan,nan,nan,nan,29.0,26.0,23.333333333333332,26.0,35.0,20.0,nan,nan
14.28,nan,nan,nan,nan,nan,nan,nan,nan,20.5,21.0,15.666666666666666,18.666666666666668,nan,nan,nan,29.0
10.65,nan,nan,nan,nan,nan,nan,nan,26.0,29.0,8.0,17.0,33.0,nan,15.0,nan,nan
12.43,nan,nan,nan,nan,nan,nan,nan,nan,38.0,37.0,38.0,nan,nan,nan,nan,nan
8.84,nan,nan,nan,nan,nan,nan,nan,30.0,31.0,42.0,37.5,nan,23.5,13.0,nan,23.5
7.54,nan,nan,nan,nan,nan,nan,nan,nan,33.5,37.0,20.0,12.0,nan,22.0,nan,nan
5.14,nan,nan,nan,nan,nan,nan,nan,nan,18.0,38.0,nan,30.0,27.0,nan,nan,26.0
2.96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.53,nan,nan,nan,nan,nan,nan,nan,nan,25.0,11.0,nan,14.5,27.0,nan,10.0,31.0
4.51,nan,nan,nan,nan,nan,nan,nan,nan,22.0,9.0,19.0,nan,nan,nan,nan,25.0
5.77,nan,nan,nan,nan,nan,nan,nan,nan,28.5,nan,20.666666666666668,nan,nan,nan,nan,nan
7.68,nan,nan,nan,nan,nan,nan,nan,18.0,1.0,33.5,24.0,nan,nan,17.5,nan,19.0
5.89,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,nan,31.0,nan,nan,nan
5.89,nan,nan,nan,nan,nan,nan,nan,nan,25.5,29.0,15.0,13.0,nan,nan,nan,30.5
7.65,nan,nan,nan,nan,nan,nan,nan,7.0,15.5,16.0,nan,nan,13.5,nan,15.0,26.333333333333332
11.8,nan,nan,nan,nan,nan,nan,nan,13.0,20.666666666666668,30.0,16.666666666666668,14.0,24.0,10.0,4.0,20.5
15.84,nan,nan,nan,nan,nan,nan,nan,21.0,19.5,27.0,17.0,8.5,20.5,7.0,nan,29.0
16.69,nan,nan,nan,nan,nan,nan,nan,11.5,13.666666666666666,15.333333333333334,13.0,10.0,nan,nan,16.0,14.0
12.1,nan,nan,nan,nan,nan,nan,nan,17.5,9.666666666666666,22.5,21.5,9.0,27.0,7.0,13.0,13.5
11.18,nan,nan,nan,nan,nan,nan,nan,25.0,12.25,19.0,12.333333333333334,nan,16.0,14.0,nan,24.333333333333332
14.27,nan,nan,nan,nan,nan,nan,nan,nan,16.0,17.0,12.75,17.0,17.0,nan,nan,23.0
15.73,nan,nan,nan,nan,nan,nan,nan,15.0,21.0,21.0,29.0,nan,nan,11.0,nan,38.5
11.09,nan,nan,nan,nan,nan,nan,nan,nan,32.0,28.0,30.0,15.0,26.0,nan,nan,25.0
7.82,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.0,31.0,10.0,26.0,13.0,nan,39.0
6.03,nan,nan,nan,nan,nan,nan,nan,nan,32.0,15.0,15.5,20.0,nan,nan,nan,nan
5.07,nan,nan,nan,nan,nan,nan,nan,nan,34.0,27.0,9.5,nan,21.0,nan,18.0,29.0
4.7,nan,nan,nan,nan,nan,nan,nan,nan,14.0,nan,40.0,nan,34.0,19.0,nan,nan
3.82,nan,nan,nan,nan,nan,nan,nan,27.0,34.5,8.0,nan,20.5,30.0,nan,nan,nan
3.45,nan,nan,nan,nan,nan,nan,nan,nan,24.5,nan,26.0,18.0,29.0,19.0,nan,nan
5.63,nan,nan,nan,nan,nan,nan,nan,nan,12.5,13.5,14.75,nan,13.333333333333334,nan,11.0,22.0
6.97,nan,nan,nan,nan,nan,nan,nan,12.0,10.0,30.0,23.0,18.0,18.333333333333332,14.0,nan,24.5
6.84,nan,nan,nan,nan,nan,nan,nan,18.5,24.5,8.0,25.0,16.0,27.0,23.0,nan,24.666666666666668
7.08,nan,nan,nan,nan,nan,nan,nan,14.0,18.0,16.0,15.333333333333334,9.0,23.0,10.0,15.0,9.0
5.44,nan,nan,nan,nan,nan,nan,nan,21.0,9.0,9.0,19.0,nan,30.5,12.333333333333334,19.0,13.5
4.65,nan,nan,nan,nan,nan,nan,nan,7.0,9.333333333333334,17.666666666666668,13.25,11.0,21.5,8.0,nan,16.666666666666668
4.89,nan,nan,nan,nan,nan,nan,nan,16.0,18.0,16.0,15.5,15.0,23.333333333333332,8.0,11.0,25.75
4.01,nan,nan,nan,nan,nan,nan,nan,9.0,34.0,26.0,12.5,16.0,36.0,5.0,nan,26.0
8.03,nan,nan,nan,nan,nan,nan,nan,9.666666666666666,17.5,27.666666666666668,21.5,10.0,nan,nan,14.0,24.0
6.79,nan,nan,nan,nan,nan,nan,nan,15.5,17.666666666666668,24.0,21.0,9.333333333333334,19.0,8.0,12.0,14.5
8.87,nan,nan,nan,nan,nan,nan,nan,10.0,15.5,19.0,22.333333333333332,8.75,26.5,8.333333333333334,18.0,11.0
15.52,nan,nan,nan,nan,nan,nan,nan,nan,20.0,24.333333333333332,14.333333333333334,9.0,25.0,12.5,nan,11.5
14.86,nan,nan,nan,nan,nan,nan,nan,13.0,21.0,33.0,13.666666666666666,14.75,23.0,15.0,12.0,22.0
17.2,nan,nan,nan,nan,nan,nan,nan,15.0,23.666666666666668,17.5,24.25,8.0,23.0,6.0,17.0,17.0
14.9,nan,nan,nan,nan,nan,nan,nan,nan,21.666666666666668,30.0,23.666666666666668,nan,22.5,5.0,nan,16.0
16.18,nan,nan,nan,nan,nan,nan,nan,nan,22.5,11.0,26.666666666666668,nan,nan,8.5,nan,nan
12.01,nan,nan,nan,nan,nan,nan,nan,20.0,24.0,31.0,24.333333333333332,20.0,nan,19.666666666666668,12.0,28.0
5.51,nan,nan,nan,nan,nan,nan,nan,26.0,26.333333333333332,12.0,29.0,nan,31.5,nan,29.0,25.666666666666668
2.28,nan,nan,nan,nan,nan,nan,nan,11.0,25.666666666666668,16.0,nan,nan,28.0,nan,nan,28.0
1.68,nan,nan,nan,nan,nan,nan,nan,21.0,18.5,49.0,43.0,nan,32.0,nan,22.0,nan
1.28,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.0,9.0,nan,nan,12.0,nan,nan
0.91,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.333333333333332,28.5,27.5,nan,nan,nan
0.82,nan,nan,nan,nan,nan,nan,nan,nan,24.333333333333332,nan,21.0,19.0,26.0,nan,nan,22.0
1.05,nan,nan,nan,nan,nan,nan,nan,26.0,22.333333333333332,31.5,19.0,nan,36.0,28.0,29.0,nan
1.42,nan,nan,nan,nan,nan,nan,nan,24.0,17.666666666666668,25.666666666666668,13.0,15.5,27.333333333333332,nan,19.666666666666668,22.0
1.83,nan,nan,nan,nan,nan,nan,nan,16.5,17.0,18.333333333333332,15.666666666666666,16.5,23.333333333333332,15.0,12.333333333333334,9.0
1.8,nan,nan,nan,nan,nan,nan,nan,19.0,8.75,17.0,15.5,15.5,22.75,7.5,16.0,17.0
2.46,nan,nan,nan,nan,nan,nan,nan,nan,12.25,27.0,13.25,13.5,25.0,10.666666666666666,13.0,16.5
2.31,nan,nan,nan,nan,nan,nan,nan,12.5,14.0,21.0,9.25,10.333333333333334,18.0,5.0,nan,15.666666666666666
2.89,nan,nan,nan,nan,nan,nan,nan,12.0,10.0,15.333333333333334,12.75,20.5,20.666666666666668,16.5,6.0,17.0
3.08,nan,nan,nan,nan,nan,nan,nan,15.5,10.0,20.0,13.333333333333334,6.0,19.0,11.0,7.0,nan
3.01,nan,nan,nan,nan,nan,nan,nan,11.333333333333334,13.333333333333334,15.75,9.0,12.5,31.0,8.333333333333334,18.0,9.0
2.69,nan,nan,nan,nan,nan,nan,nan,5.0,18.0,26.0,12.0,13.333333333333334,19.0,13.5,11.0,13.0
2.95,nan,nan,nan,nan,nan,nan,nan,nan,17.75,22.333333333333332,12.25,10.0,28.5,11.0,12.75,19.333333333333332
3.41,nan,nan,nan,nan,nan,nan,nan,5.0,10.666666666666666,15.333333333333334,14.25,9.75,20.0,nan,14.0,11.0
3.02,nan,nan,nan,nan,nan,nan,nan,7.0,16.666666666666668,18.666666666666668,10.25,8.0,16.0,19.0,14.5,13.666666666666666
2.73,nan,nan,nan,nan,nan,nan,nan,18.0,19.75,21.0,17.5,8.333333333333334,19.5,9.666666666666666,12.5,16.333333333333332
4.94,nan,nan,nan,nan,nan,nan,nan,14.0,18.666666666666668,26.333333333333332,19.333333333333332,11.0,18.666666666666668,8.666666666666666,13.5,13.0
4.58,nan,nan,nan,nan,nan,nan,nan,24.0,20.666666666666668,30.666666666666668,24.333333333333332,7.0,22.0,11.0,nan,25.0
7.09,nan,nan,nan,nan,nan,nan,nan,20.5,21.75,22.333333333333332,20.333333333333332,14.0,15.0,14.0,12.0,24.5
