NO#APT2018,NO2APT2018,Εθνικης Αμυνης(1392),Αγιου Δημητριου(1479),Αγιου Δημητριου(1514),Εθνικης Αμυνης(1803),Πανεπιστημιου(1896),Αγιου Δημητριου(2090),Αγιου Δημητριου(2183),Προς Αγιου Δημητριου(727),Αγιου Δημητριου(800),Προς Εθνικης Αμυνης(843)
nan,nan,21.0,41.75,23.75,11.0,18.25,40.5,21.75,39.0,nan,41.0
nan,nan,nan,46.25,20.5,24.0,15.0,48.25,23.333333333333332,30.75,12.0,13.666666666666666
nan,nan,22.5,47.0,34.25,14.333333333333334,27.5,50.75,23.75,32.333333333333336,nan,21.5
nan,nan,28.0,45.666666666666664,40.0,21.0,21.5,55.25,9.666666666666666,36.0,nan,11.333333333333334
nan,nan,nan,59.25,34.0,7.0,29.0,53.25,21.666666666666668,30.5,nan,41.5
nan,nan,28.0,56.75,36.75,16.0,17.666666666666668,61.25,35.5,30.0,27.0,17.0
nan,nan,nan,62.75,29.333333333333332,23.0,18.5,46.666666666666664,nan,32.0,nan,31.0
nan,nan,15.0,57.75,40.0,9.0,17.0,52.75,49.5,nan,nan,39.0
nan,nan,21.0,53.25,51.666666666666664,nan,nan,55.0,21.0,86.0,nan,25.0
nan,nan,nan,58.75,41.5,17.0,nan,54.5,24.0,42.5,nan,19.666666666666668
nan,nan,nan,53.333333333333336,36.75,23.5,nan,57.25,32.0,nan,nan,24.5
nan,nan,nan,54.25,50.5,nan,9.0,58.0,28.0,27.5,nan,nan
nan,nan,nan,47.0,33.5,20.0,nan,53.0,25.5,nan,14.0,37.5
nan,nan,21.0,61.25,22.5,nan,17.0,43.0,26.5,nan,nan,33.0
nan,nan,nan,57.25,38.666666666666664,14.0,22.0,50.75,17.0,nan,nan,43.5
nan,nan,36.0,43.5,32.333333333333336,nan,19.0,49.0,28.333333333333332,54.0,nan,9.0
nan,nan,nan,37.5,36.0,nan,nan,51.0,29.0,41.0,nan,26.5
nan,nan,nan,52.75,33.5,nan,18.0,45.5,30.25,25.0,nan,27.75
nan,nan,18.0,37.666666666666664,28.666666666666668,nan,28.0,43.5,21.5,36.0,nan,19.0
